Name,Department,Phone,Email,Designation
MRS BALOGUN KEHINDE,Administration & Human Resources,08032000100,,Officer
MR ADEWALE TAYO,Administration & Human Resources,08032000101,,Officer
MISS OJO BLESSING,Administration & Human Resources,08032000102,,Officer
MR LAWAL KUNLE,Administration & Human Resources,08032000103,,Officer
MRS DANJUMA HALIMA,Administration & Human Resources,08032000104,,Officer
MR PETER GABRIEL,Administration & Human Resources,08032000105,,Officer
NURSE ADEBAYO RUTH,Accident & Emergency,08032000106,,Nurse
NURSE EZE CHIOMA,Accident & Emergency,08032000107,,Nurse
NURSE IBRAHIM HALIMA,Accident & Emergency,08032000108,,Nurse
NURSE OKONKWO IFEANYI,Accident & Emergency,08032000109,,Nurse
NURSE SULE GRACE,Accident & Emergency,08032000110,,Nurse
NURSE FALANA TOBI,Accident & Emergency,08032000111,,Nurse
MRS OLATUNJI BOLA,Finance & Accounts,08032000112,,Officer
MR FASHOLA SEGUN,Finance & Accounts,08032000113,,Officer
MISS DANJUMA AMINA,Finance & Accounts,08032000114,,Officer
MR NWOSU CHINEDU,Finance & Accounts,08032000115,,Officer
MRS ADEKOLA BISI,Finance & Accounts,08032000116,,Officer
MR HASSAN UMAR,Finance & Accounts,08032000117,,Officer
MR AKANDE SEUN,Finance & Accounts,08032000118,,Officer
MRS UCHE NKECHI,Finance & Accounts,08032000119,,Officer
MR YUSUF BASHIR,Finance & Accounts,08032000120,,Officer
MISS ADEKUNLE TIWA,Finance & Accounts,08032000121,,Officer
MR OKAFOR JUDE,Finance & Accounts,08032000122,,Officer
MRS BELLO RAMAT,Finance & Accounts,08032000123,,Officer
MRS SALAMI YETUNDE,Administration & Human Resources,08032000124,,Officer
MR OKORO EMEKA,Administration & Human Resources,08032000125,,Officer
MISS BELLO FATIMA,Administration & Human Resources,08032000126,,Officer
MR AJAYI GBENGA,Administration & Human Resources,08032000127,,Officer
MRS IBE CHIOMA,Administration & Human Resources,08032000128,,Officer
MR SANUSI KOLA,Administration & Human Resources,08032000129,,Officer
NURSE OYENIRAN JOY,Accident & Emergency,08032000130,,Nurse
NURSE MUSA HADIZA,Accident & Emergency,08032000131,,Nurse
NURSE CHUKWU EMMANUEL,Accident & Emergency,08032000132,,Nurse
NURSE ADEKOLA FUNKE,Accident & Emergency,08032000133,,Nurse
DR SALAMI KOLA,Accident & Emergency,08032000134,,Nurse
DR NNAMDI OBINNA,Accident & Emergency,08032000135,,Nurse
DR ADEYEMI FOLASHADE,Family Medicine / General Outpatient,08032000136,,Doctor
DR BAKARE TUNDE,Family Medicine / General Outpatient,08032000137,,Doctor
DR OBIADA NNEKA,Family Medicine / General Outpatient,08032000138,,Doctor
DR GARBA USMAN,Family Medicine / General Outpatient,08032000139,,Doctor
DR EZE NGOZI,Surgery,08032000140,,Doctor
DR WILLIAMS KAYODE,Surgery,08032000141,,Doctor
DR BAKARE AMINA,Internal Medicine,08032000142,,Doctor
DR OKECHUKWU PAUL,Internal Medicine,08032000143,,Doctor
DR FALANA TEMITOPE,Dental Services,08032000144,,Doctor
DR IDRIS ZAINAB,Dental Services,08032000145,,Doctor
NURSE AINA MOJISOLA,Obstetrics & Gynaecology,08032000146,,Nurse
NURSE HASSAN RAMAT,Obstetrics & Gynaecology,08032000147,,Nurse
MIDWIFE OKE GRACE,Obstetrics & Gynaecology,08032000148,,Nurse
NURSE PETER GLORY,Obstetrics & Gynaecology,08032000149,,Nurse
MIDWIFE SULAIMAN HAUWA,Obstetrics & Gynaecology,08032000150,,Nurse
NURSE IDOWU PEACE,Obstetrics & Gynaecology,08032000151,,Nurse
DR OKOYE ADA,Obstetrics & Gynaecology,08032000152,,Doctor
DR LAWAL RASHEED,Obstetrics & Gynaecology,08032000153,,Doctor
DR SOWUNMI DEBORAH,Ophthalmology (Eye Clinic),08032000154,,Doctor
DR ALIYU MUSA,Ophthalmology (Eye Clinic),08032000155,,Doctor
DR NWOSU CHIDI,Paediatrics,08032000156,,Doctor
DR ADETOLA BUNMI,Paediatrics,08032000157,,Doctor
MR OGUNLEYE SEUN,Physiotherapy,08032000158,,Officer
MISS UDOH PATIENCE,Physiotherapy,08032000159,,Officer
MRS ADEGBITE FOLUKE,Administration & Human Resources,08032000160,,Officer
