Name,Date,End Date,Shift,Leave Type,Section,Unit,Note
NURSE ADEBAYO RUTH,2026-08-24,,DAY,,,,Mon DAY 07:00-19:00
NURSE EZE CHIOMA,2026-08-24,,DAY,,,,Mon DAY 07:00-19:00
NURSE IBRAHIM HALIMA,2026-08-24,,NIGHT,,,,Mon NIGHT 19:00-07:00
NURSE OKONKWO IFEANYI,2026-08-24,,NIGHT,,,,Mon NIGHT 19:00-07:00
NURSE FALANA TOBI,2026-08-24,,,OFF,,,Off duty
NURSE SULE GRACE,2026-08-24,,,OFF,,,Off duty
NURSE ADEBAYO RUTH,2026-08-25,,DAY,,,,Tue DAY 07:00-19:00
NURSE EZE CHIOMA,2026-08-25,,DAY,,,,Tue DAY 07:00-19:00
NURSE IBRAHIM HALIMA,2026-08-25,,NIGHT,,,,Tue NIGHT 19:00-07:00
NURSE OKONKWO IFEANYI,2026-08-25,,NIGHT,,,,Tue NIGHT 19:00-07:00
NURSE FALANA TOBI,2026-08-25,,,OFF,,,Off duty
NURSE SULE GRACE,2026-08-25,,,OFF,,,Off duty
NURSE IBRAHIM HALIMA,2026-08-26,,DAY,,,,Wed DAY 07:00-19:00
NURSE OKONKWO IFEANYI,2026-08-26,,DAY,,,,Wed DAY 07:00-19:00
NURSE FALANA TOBI,2026-08-26,,NIGHT,,,,Wed NIGHT 19:00-07:00
NURSE SULE GRACE,2026-08-26,,NIGHT,,,,Wed NIGHT 19:00-07:00
NURSE ADEBAYO RUTH,2026-08-26,,,OFF,,,Off duty
NURSE EZE CHIOMA,2026-08-26,,,OFF,,,Off duty
NURSE IBRAHIM HALIMA,2026-08-27,,DAY,,,,Thu DAY 07:00-19:00
NURSE OKONKWO IFEANYI,2026-08-27,,DAY,,,,Thu DAY 07:00-19:00
NURSE FALANA TOBI,2026-08-27,,NIGHT,,,,Thu NIGHT 19:00-07:00
NURSE SULE GRACE,2026-08-27,,NIGHT,,,,Thu NIGHT 19:00-07:00
NURSE ADEBAYO RUTH,2026-08-27,,,OFF,,,Off duty
NURSE EZE CHIOMA,2026-08-27,,,OFF,,,Off duty
NURSE FALANA TOBI,2026-08-28,,DAY,,,,Fri DAY 07:00-19:00
NURSE SULE GRACE,2026-08-28,,DAY,,,,Fri DAY 07:00-19:00
NURSE ADEBAYO RUTH,2026-08-28,,NIGHT,,,,Fri NIGHT 19:00-07:00
NURSE EZE CHIOMA,2026-08-28,,NIGHT,,,,Fri NIGHT 19:00-07:00
NURSE IBRAHIM HALIMA,2026-08-28,,,OFF,,,Off duty
NURSE OKONKWO IFEANYI,2026-08-28,,,OFF,,,Off duty
NURSE FALANA TOBI,2026-08-29,,DAY,,,,Sat DAY 07:00-19:00
NURSE SULE GRACE,2026-08-29,,DAY,,,,Sat DAY 07:00-19:00
NURSE ADEBAYO RUTH,2026-08-29,,NIGHT,,,,Sat NIGHT 19:00-07:00
NURSE EZE CHIOMA,2026-08-29,,NIGHT,,,,Sat NIGHT 19:00-07:00
NURSE IBRAHIM HALIMA,2026-08-29,,,OFF,,,Off duty
NURSE OKONKWO IFEANYI,2026-08-29,,,OFF,,,Off duty
NURSE ADEBAYO RUTH,2026-08-30,,DAY,,,,Sun DAY 07:00-19:00
NURSE IBRAHIM HALIMA,2026-08-30,,DAY,,,,Sun DAY 07:00-19:00
NURSE EZE CHIOMA,2026-08-30,,NIGHT,,,,Sun NIGHT 19:00-07:00
NURSE SULE GRACE,2026-08-30,,NIGHT,,,,Sun NIGHT 19:00-07:00
NURSE FALANA TOBI,2026-08-30,,,OFF,,,Off duty
NURSE OKONKWO IFEANYI,2026-08-30,,,OFF,,,Off duty
