Name,Date,End Date,Shift,Leave Type,Section,Unit,Note
NURSE MUSA HADIZA,2026-08-24,,DAY,,,,Mon DAY 07:00-19:00
NURSE OYENIRAN JOY,2026-08-24,,DAY,,,,Mon DAY 07:00-19:00
NURSE ADEKOLA FUNKE,2026-08-24,,NIGHT,,,,Mon NIGHT 19:00-07:00
NURSE CHUKWU EMMANUEL,2026-08-24,,NIGHT,,,,Mon NIGHT 19:00-07:00
DR NNAMDI OBINNA,2026-08-24,,,OFF,,,Off duty
DR SALAMI KOLA,2026-08-24,,,OFF,,,Off duty
NURSE MUSA HADIZA,2026-08-25,,DAY,,,,Tue DAY 07:00-19:00
NURSE OYENIRAN JOY,2026-08-25,,DAY,,,,Tue DAY 07:00-19:00
NURSE ADEKOLA FUNKE,2026-08-25,,NIGHT,,,,Tue NIGHT 19:00-07:00
NURSE CHUKWU EMMANUEL,2026-08-25,,NIGHT,,,,Tue NIGHT 19:00-07:00
DR NNAMDI OBINNA,2026-08-25,,,OFF,,,Off duty
DR SALAMI KOLA,2026-08-25,,,OFF,,,Off duty
NURSE ADEKOLA FUNKE,2026-08-26,,DAY,,,,Wed DAY 07:00-19:00
NURSE CHUKWU EMMANUEL,2026-08-26,,DAY,,,,Wed DAY 07:00-19:00
DR NNAMDI OBINNA,2026-08-26,,NIGHT,,,,Wed NIGHT 19:00-07:00
DR SALAMI KOLA,2026-08-26,,NIGHT,,,,Wed NIGHT 19:00-07:00
NURSE MUSA HADIZA,2026-08-26,,,OFF,,,Off duty
NURSE OYENIRAN JOY,2026-08-26,,,OFF,,,Off duty
NURSE ADEKOLA FUNKE,2026-08-27,,DAY,,,,Thu DAY 07:00-19:00
NURSE CHUKWU EMMANUEL,2026-08-27,,DAY,,,,Thu DAY 07:00-19:00
DR NNAMDI OBINNA,2026-08-27,,NIGHT,,,,Thu NIGHT 19:00-07:00
DR SALAMI KOLA,2026-08-27,,NIGHT,,,,Thu NIGHT 19:00-07:00
NURSE MUSA HADIZA,2026-08-27,,,OFF,,,Off duty
NURSE OYENIRAN JOY,2026-08-27,,,OFF,,,Off duty
DR NNAMDI OBINNA,2026-08-28,,DAY,,,,Fri DAY 07:00-19:00
DR SALAMI KOLA,2026-08-28,,DAY,,,,Fri DAY 07:00-19:00
NURSE MUSA HADIZA,2026-08-28,,NIGHT,,,,Fri NIGHT 19:00-07:00
NURSE OYENIRAN JOY,2026-08-28,,NIGHT,,,,Fri NIGHT 19:00-07:00
NURSE ADEKOLA FUNKE,2026-08-28,,,OFF,,,Off duty
NURSE CHUKWU EMMANUEL,2026-08-28,,,OFF,,,Off duty
DR NNAMDI OBINNA,2026-08-29,,DAY,,,,Sat DAY 07:00-19:00
DR SALAMI KOLA,2026-08-29,,DAY,,,,Sat DAY 07:00-19:00
NURSE MUSA HADIZA,2026-08-29,,NIGHT,,,,Sat NIGHT 19:00-07:00
NURSE OYENIRAN JOY,2026-08-29,,NIGHT,,,,Sat NIGHT 19:00-07:00
NURSE ADEKOLA FUNKE,2026-08-29,,,OFF,,,Off duty
NURSE CHUKWU EMMANUEL,2026-08-29,,,OFF,,,Off duty
NURSE CHUKWU EMMANUEL,2026-08-30,,DAY,,,,Sun DAY 07:00-19:00
NURSE OYENIRAN JOY,2026-08-30,,DAY,,,,Sun DAY 07:00-19:00
DR SALAMI KOLA,2026-08-30,,NIGHT,,,,Sun NIGHT 19:00-07:00
NURSE MUSA HADIZA,2026-08-30,,NIGHT,,,,Sun NIGHT 19:00-07:00
DR NNAMDI OBINNA,2026-08-30,,,OFF,,,Off duty
NURSE ADEKOLA FUNKE,2026-08-30,,,OFF,,,Off duty
