Name,Date,End Date,Shift,Leave Type,Section,Unit,Note
DR EZE NGOZI,2026-08-24,,DAY,,,,Mon consulting
DR WILLIAMS KAYODE,2026-08-24,,DAY,,,,Mon consulting
DR EZE NGOZI,2026-08-25,,DAY,,,,Tue consulting
DR WILLIAMS KAYODE,2026-08-25,,DAY,,,,Tue consulting
DR EZE NGOZI,2026-08-26,,DAY,,,,Wed consulting
DR WILLIAMS KAYODE,2026-08-26,,DAY,,,,Wed consulting
DR EZE NGOZI,2026-08-27,,DAY,,,,Thu consulting
DR WILLIAMS KAYODE,2026-08-27,,DAY,,,,Thu consulting
DR EZE NGOZI,2026-08-28,,DAY,,,,Fri consulting
DR WILLIAMS KAYODE,2026-08-28,,DAY,,,,Fri consulting
DR EZE NGOZI,2026-08-29,,,OFF,,,Clinic closed weekend
DR WILLIAMS KAYODE,2026-08-29,,,OFF,,,Clinic closed weekend
DR EZE NGOZI,2026-08-30,,,OFF,,,Clinic closed weekend
DR WILLIAMS KAYODE,2026-08-30,,,OFF,,,Clinic closed weekend
