Name,Date,End Date,Shift,Leave Type,Section,Unit,Note
DR BAKARE AMINA,2026-08-24,,DAY,,,,Mon consulting
DR OKECHUKWU PAUL,2026-08-24,,DAY,,,,Mon consulting
DR BAKARE AMINA,2026-08-25,,DAY,,,,Tue consulting
DR OKECHUKWU PAUL,2026-08-25,,DAY,,,,Tue consulting
DR BAKARE AMINA,2026-08-26,,DAY,,,,Wed consulting
DR OKECHUKWU PAUL,2026-08-26,,DAY,,,,Wed consulting
DR BAKARE AMINA,2026-08-27,,DAY,,,,Thu consulting
DR OKECHUKWU PAUL,2026-08-27,,DAY,,,,Thu consulting
DR BAKARE AMINA,2026-08-28,,DAY,,,,Fri consulting
DR OKECHUKWU PAUL,2026-08-28,,DAY,,,,Fri consulting
DR BAKARE AMINA,2026-08-29,,,OFF,,,Clinic closed weekend
DR OKECHUKWU PAUL,2026-08-29,,,OFF,,,Clinic closed weekend
DR BAKARE AMINA,2026-08-30,,,OFF,,,Clinic closed weekend
DR OKECHUKWU PAUL,2026-08-30,,,OFF,,,Clinic closed weekend
