Name,Date,End Date,Shift,Leave Type,Section,Unit,Note
DR ADETOLA BUNMI,2026-08-24,,DAY,,,,Mon consulting
DR NWOSU CHIDI,2026-08-24,,DAY,,,,Mon consulting
DR ADETOLA BUNMI,2026-08-25,,DAY,,,,Tue consulting
DR NWOSU CHIDI,2026-08-25,,DAY,,,,Tue consulting
DR ADETOLA BUNMI,2026-08-26,,DAY,,,,Wed consulting
DR NWOSU CHIDI,2026-08-26,,DAY,,,,Wed consulting
DR ADETOLA BUNMI,2026-08-27,,DAY,,,,Thu consulting
DR NWOSU CHIDI,2026-08-27,,DAY,,,,Thu consulting
DR ADETOLA BUNMI,2026-08-28,,DAY,,,,Fri consulting
DR NWOSU CHIDI,2026-08-28,,DAY,,,,Fri consulting
DR ADETOLA BUNMI,2026-08-29,,,OFF,,,Clinic closed weekend
DR NWOSU CHIDI,2026-08-29,,,OFF,,,Clinic closed weekend
DR ADETOLA BUNMI,2026-08-30,,,OFF,,,Clinic closed weekend
DR NWOSU CHIDI,2026-08-30,,,OFF,,,Clinic closed weekend
