Name,Date,End Date,Shift,Leave Type,Section,Unit,Note
NURSE BELLO ZAINAB,2026-08-24,,DAY,,,,Mon DAY 07:00-19:00
NURSE OGUNSANYA PEACE,2026-08-24,,DAY,,,,Mon DAY 07:00-19:00
NURSE AINA RUTH,2026-08-24,,NIGHT,,,,Mon NIGHT 19:00-07:00
NURSE EMEKA BLESSING,2026-08-24,,NIGHT,,,,Mon NIGHT 19:00-07:00
NURSE CHIDI AMARA,2026-08-24,,,OFF,,,Off duty
NURSE SULEIMAN HALIMA,2026-08-24,,,OFF,,,Off duty
NURSE BELLO ZAINAB,2026-08-25,,DAY,,,,Tue DAY 07:00-19:00
NURSE OGUNSANYA PEACE,2026-08-25,,DAY,,,,Tue DAY 07:00-19:00
NURSE AINA RUTH,2026-08-25,,NIGHT,,,,Tue NIGHT 19:00-07:00
NURSE EMEKA BLESSING,2026-08-25,,NIGHT,,,,Tue NIGHT 19:00-07:00
NURSE CHIDI AMARA,2026-08-25,,,OFF,,,Off duty
NURSE SULEIMAN HALIMA,2026-08-25,,,OFF,,,Off duty
NURSE AINA RUTH,2026-08-26,,DAY,,,,Wed DAY 07:00-19:00
NURSE EMEKA BLESSING,2026-08-26,,DAY,,,,Wed DAY 07:00-19:00
NURSE CHIDI AMARA,2026-08-26,,NIGHT,,,,Wed NIGHT 19:00-07:00
NURSE SULEIMAN HALIMA,2026-08-26,,NIGHT,,,,Wed NIGHT 19:00-07:00
NURSE BELLO ZAINAB,2026-08-26,,,OFF,,,Off duty
NURSE OGUNSANYA PEACE,2026-08-26,,,OFF,,,Off duty
NURSE AINA RUTH,2026-08-27,,DAY,,,,Thu DAY 07:00-19:00
NURSE EMEKA BLESSING,2026-08-27,,DAY,,,,Thu DAY 07:00-19:00
NURSE CHIDI AMARA,2026-08-27,,NIGHT,,,,Thu NIGHT 19:00-07:00
NURSE SULEIMAN HALIMA,2026-08-27,,NIGHT,,,,Thu NIGHT 19:00-07:00
NURSE BELLO ZAINAB,2026-08-27,,,OFF,,,Off duty
NURSE OGUNSANYA PEACE,2026-08-27,,,OFF,,,Off duty
NURSE CHIDI AMARA,2026-08-28,,DAY,,,,Fri DAY 07:00-19:00
NURSE SULEIMAN HALIMA,2026-08-28,,DAY,,,,Fri DAY 07:00-19:00
NURSE BELLO ZAINAB,2026-08-28,,NIGHT,,,,Fri NIGHT 19:00-07:00
NURSE OGUNSANYA PEACE,2026-08-28,,NIGHT,,,,Fri NIGHT 19:00-07:00
NURSE AINA RUTH,2026-08-28,,,OFF,,,Off duty
NURSE EMEKA BLESSING,2026-08-28,,,OFF,,,Off duty
NURSE CHIDI AMARA,2026-08-29,,DAY,,,,Sat DAY 07:00-19:00
NURSE SULEIMAN HALIMA,2026-08-29,,DAY,,,,Sat DAY 07:00-19:00
NURSE BELLO ZAINAB,2026-08-29,,NIGHT,,,,Sat NIGHT 19:00-07:00
NURSE OGUNSANYA PEACE,2026-08-29,,NIGHT,,,,Sat NIGHT 19:00-07:00
NURSE AINA RUTH,2026-08-29,,,OFF,,,Off duty
NURSE EMEKA BLESSING,2026-08-29,,,OFF,,,Off duty
NURSE EMEKA BLESSING,2026-08-30,,DAY,,,,Sun DAY 07:00-19:00
NURSE OGUNSANYA PEACE,2026-08-30,,DAY,,,,Sun DAY 07:00-19:00
NURSE BELLO ZAINAB,2026-08-30,,NIGHT,,,,Sun NIGHT 19:00-07:00
NURSE SULEIMAN HALIMA,2026-08-30,,NIGHT,,,,Sun NIGHT 19:00-07:00
NURSE AINA RUTH,2026-08-30,,,OFF,,,Off duty
NURSE CHIDI AMARA,2026-08-30,,,OFF,,,Off duty
